,Iata_Code,Icao_Code,Call_Sign,Name,Country_Code
206,CW,CWM,AIR MARSHALLS,Air Marshall Islands,171
207,ZA,CYD,CYCLONE,Access Air,161
208,AH,DAH,AIR ALGERIE,Air AlgÃ©rie,141
209,UC,DAP,DAP,Aerovias DAP,51
210,KI,DHI,ADAM SKY,Adam Air,91
211,ER,DHL,D-H-L,Astar Air Cargo,131
212,HO,DJA,ANTINEA,Antinea Airlines,41
213,EN,DLA,DOLOMOTI,Air Dolomiti,1
214,D9,DNV,DONAVIA,Aeroflot-Don,151
215,NM,DRD,ALADA AIR,Air Madrid,181
216,EE,EAY,REVAL,Aero Airlines,11
217,4F,ECE,AIRCITY,Air City,121
218,EI,EIN,SHAMROCK,Aer Lingus,121
219,E8,ELG,ALPI EAGLES,Alpi Eagles,101
220,KY,EQL,EQUATORIAL,Air SÃ£o TomÃ© and PrÃ­ncipe,161
221,7U,ERG,AVIANERGO,Avianergo,91
222,PC,FAJ,FIJIAIR,Air Fiji,31
223,OF,FIF,AIR FINLAND,Air Finland,71
224,FJ,FJI,PACIFIC,Air Pacific,61
225,RC,FLI,FAROELINE,Atlantic Airways,141
226,QH,FLZ,AIR FLORIDA,Air Florida,141
227,E9,FPY,AFRICOMPANY,African Company Airlines,211
228,6F,FRJ,AFRIJET,Afrijet Airlines,1
229,UD,FST,FAST TRACK,Aereos Limited,101
230,NY,FXI,FAXI,Air Iceland,51
231,2P,GAP,ORIENT PACIFIC,Air Philippines,21
232,ZX,GGN,GEORGIAN,Air Georgian,1
233,9C,GIL,AFRICAN TRANSPORT,African International Transport,71
234,2U,GIP,FUTURE EXPRESS,Air Guinee Express,91
235,0A,GNT,GINTA,Amber Air,51
236,DC,GOA,ALBERTA,Alberta Government,121
237,DA,GRG,AIR GEORGIA,Air Georgia,81
238,GL,GRL,GREENLAND,Air Greenland,151
239,LL,GRO,ALLEGRO,Allegro,91
240,5Y,GTI,GIANT,Atlas Air,51
241,GG,GUY,GREEN BIRD,Air Guyane,91
242,H9,HAD,HAITI AVIA,Air D'Ayiti,151
243,GG,HAH,AIR COMORES,Air Comores International,211
244,HD,HLN,Orange,Air Holland,31
245,8C,HZT,HORIZON TOGO,Air Horizon,181
246,W9,JAB,AIR BAGAN,Air Bagan,91
247,UR,UTX,,Avfinity,151
248,IP,JOL,EDIL,Atyrau Air Ways,171
249,QK,JZA,JAZZ,Air Canada Jazz,191
250,XH,KHH,,Alexandria Airlines,161
251,KK,KKK,ATLASJET,Atlasjet,181
252,JS,KOR,AIR KORYO,Air Koryo,151
253,KC,KZR,ASTANALINE,Air Astana,191
254,LV,LBC,ALBANIAN,Albanian Airlines,171
255,D4,LID,ALIDA,Alidaunia,91
256,CD,LLR,ALLIED,Alliance Air,41
257,6T,LMT,ALMATY,Almaty Aviation,161
258,XL,LNE,LAN ECUADOR,Aerolane,211
259,A6,LPV,ALPAV,Air Alps Aviation,31
260,TD,LUR,,Atlantis European Airways,181
261,L8,LXG,LUXOR GOLF,Air Luxor GB,111
262,LK,LXR,AIRLUXOR,Air Luxor,111
263,MK,MAU,AIRMAURITIUS,Air Mauritius,121
264,MD,MDG,AIR MADAGASCAR,Air Madagascar,131
265,9U,MLD,AIR MOLDOVA,Air Moldova,171
266,M0,MNG,AERO MONGOLIA,Aero Mongolia,1
267,A7,MPD,RED COMET,Air Plus Comet,141
268,QO,MPX,AEROMEXPRESS,Aeromexpress,201
269,MR,MRT,MIKE ROMEO,Air Mauritanie,111
270,MC,MSC,Air Cairo,Air Cairo,181
271,3S,GUY,,Aeroland Airways,121
272,8D,EXV,EXPOAVIA,Astair,111
273,F4,NBK,AL-AIR,Albarka Air,91
274,AJ,NIG,AEROLINE,Aero Contractors,51
275,P4,NSO,SOSA,Aerolineas Sosa,121
276,7A,NXA,BLUE-DOLPHIN,Air Next,51
277,8Y,PBU,AIR-BURUNDI,Air Burundi,201
278,OT,PEL,PELICAN,Aeropelican Air Services,171
279,2E,PHW,PHOENIX SHARJAH,Ave.com,31
280,AD,PRZ,RADISAIR,Air Paradise International,111
281,QD,QCL,ACLA,Air Class Lineas Aereas,131
282,QS,QSC,ZEBRA,African Safari Airways,81
283,4Y,RBU,AIRBUS FRANCE,Airbus France,91
284,MC,RCH,REACH,Air Mobility Command,161
285,RE,REA,AER ARANN,Aer Arann,71
286,UU,REU,REUNION,Air Austral,161
287,6K,RIT,ASIAN SPIRIT,Asian Spirit,51
288,A5,RLA,AIRLINAIR,Airlinair,171
289,QL,RLN,AERO LANKA,Aero Lanka,61
290,R3,RME,ARMENIAN,Armenian Airlines,191
291,MV,RML,,Armenian International Airways,201
292,2O,RNE,AIR SALONE,Air Salone,201
293,U8,RNV,ARMAVIA,Armavia,181
294,9V,ROI,AVIOR,Avior Airlines,61
295,BQ,ROM,BRAVO QUEBEC,Aeromar,161
296,P5,RPB,AEROREPUBLICA,AeroRepÃºblica,121
297,BF,RSR,CONGOSERV,Aero-Service,151
298,5L,RSU,AEROSUR,Aerosur,51
299,EX,SDO,AERO DOMINGO,Air Santo Domingo,11
300,JR,SER,AEROCALIFORNIA,Aero California,151
301,Q6,SKP,SKIPPER,Aero-North Aviation Services,41
302,Z3,SMJ,AVAVIA,Avient Aviation,71
303,M3,SPJ,AIR SKOPJE,Air Service,201
304,GM,SVK,SLOVAKIA,Air Slovakia,101
305,R3,SYL,AIR YAKUTIA,Aircompany Yakutia,171
306,JY,TCI,KERRMONT,Air Turks and Caicos,71
307,OR,TFL,ARKEFLY,Arkefly,111
308,CG,TOK,BALUS,Airlines PNG,191
309,TY,TPC,AIRCAL,Air CalÃ©donie,171
310,FL,TRS,CITRUS,AirTran Airways,131
311,TS,TSC,TRANSAT,Air Transat,191
312,EC,TWN,TWINARROW,Avialeasing Aviation Company,81
313,VO,TYR,TYROLEAN,Austrian Arrows,161
314,DW,UCR,CHARTER UKRAINE,Aero-Charter Ukraine,11
315,6U,UKR,AIR UKRAINE,Air Ukraine,141
316,6R,DRU,MIRNY,Alrosa Mirny Air Enterprise,11
317,AD,AZU,Azul,Azul Linhas Aereas Brasileiras,201
318,8Q*,BAJ,BAKER AVIATION,Baker Aviation,211
319,BA,BAW,,British Airways,91
320,BG,BBC,BANGLADESH,Biman Bangladesh Airlines,211
321,BF,BBD,BLUE CARGO,Bluebird Cargo,51
322,BZ,BBZ,COBRA,Blue Bird Aviation,131
323,B4,BCF,BACH,BACH Flugbetriebsges,181
324,AX,BCI,BLUE ISLAND,Blue Islands,61
325,BZ,BDA,BLUE DART,Blue Dart Aviation,61
326,JA,BON,Air Bosna,B&amp;H Airlines,1
327,J4,BFL,BUFFALO,Buffalo Airways,1
328,3B,BFR,BURKLINES,Burkina Airlines,161
329,1B,BGH,BALKAN HOLIDAYS,BH Air,101
330,A8,BGL,BENIN GOLF,Benin Golf Air,161
331,2B,BGM,BUGAVIA,Bugulma Air Enterprise,101
332,BH,BHA,BUDDHA AIR,Buddha Air,141
333,4T,BHP,BELAIR,Belair Airlines,181
334,UP,BHS,BAHAMAS,Bahamasair,201
335,TH,BRT,,BA Connect,101
336,BS,BIH,BRINTEL,British International Helicopters,41
